idx,pfx,val
2831,644,605
8426,644,614
14015,644,609
19599,644,595
1194,645,606
6783,645,617
12372,645,601
17962,645,599
23551,645,608
5140,646,608
10735,646,591
16319,646,603
21908,646,606
3497,647,602
9081,647,589
14676,647,602
20265,647,600
1854,648,587
7444,648,597
13033,648,600
18622,648,594
212,649,585
5801,649,592
11390,649,594
16985,649,583
22569,649,590
4158,650,595
9753,650,590
15337,650,580
20926,650,594
2515,651,592
8110,651,584
13694,651,585
19283,651,597
878,652,591
6462,652,580
12051,652,591
17640,652,590
23235,652,582
4819,653,584
10408,653,590
16003,653,587
21592,653,573
3176,654,585
8765,654,586
14360,654,579
19944,654,576
1533,655,583
7128,655,579
12717,655,569
18301,655,579
23896,655,581
5485,656,575
11069,656,569
16658,656,580
22253,656,577
3842,657,567
9426,657,569
15021,657,573
20610,657,569
2194,658,558
7783,658,566
13378,658,565
18967,658,560
551,659,554
6140,659,559
11735,659,557
17324,659,537
22908,659,549
4497,660,551
10092,660,547
15676,660,538
21265,660,546
2854,661,544
8449,661,541
14033,661,536
19622,661,544
1211,662,542
6806,662,536
12390,662,533
17979,662,541
23568,662,540
5163,663,530
10747,663,535
16336,663,540
21925,663,542
3514,664,525
9104,664,537
14693,664,545
20282,664,543
1871,665,531
7455,665,543
13044,665,547
18639,665,549
223,666,541
5812,666,559
11401,666,558
16996,666,552
22580,666,553
4169,667,565
9758,667,563
15353,667,554
20937,667,564
2526,668,573
8115,668,570
13699,668,563
19288,668,570
883,669,580
6472,669,574
12056,669,575
17645,669,585
23240,669,586
4829,670,576
10413,670,587
16002,670,595
21597,670,590
3181,671,587
8770,671,596
14365,671,599
19954,671,591
1538,672,594
7127,672,601
12722,672,598
18306,672,585
23895,672,598
5484,673,606
11079,673,595
16663,673,592
22252,673,600
3841,674,594
9436,674,589
15020,674,597
20609,674,602
2204,675,595
7788,675,585
13377,675,598
18966,675,600
561,676,593
6145,676,590
11734,676,602
17323,676,611
22918,676,590
4502,677,599
10091,677,604
15680,677,592
21275,677,589
2859,678,601
8448,678,604
14037,678,601
19632,678,587
1216,679,600
6805,679,611
12394,679,596
17984,679,591
23573,679,602
5162,680,607
10757,680,597
16341,680,594
21930,680,603
3519,681,597
9114,681,596
14698,681,597
20287,681,602
1876,682,598
7471,682,592
13055,682,592
18644,682,600
239,683,594
5828,683,586
11412,683,590
17001,683,597
22596,683,589
4185,684,581
9769,684,583
15358,684,589
20953,684,586
2542,685,578
8126,685,578
13715,685,585
19310,685,587
899,686,579
6483,686,576
12072,686,582
17667,686,585
23256,686,582
4840,687,574
10429,687,583
16024,687,591
21613,687,586
3197,688,577
8792,688,586
14381,688,592
19970,688,587
1565,689,582
7149,689,587
12738,689,592
18333,689,591
23922,689,583
5506,690,581
11095,690,593
16690,690,595
22279,690,586
3857,691,594
9452,691,592
15041,691,593
20636,691,586
2214,692,582
7809,692,594
13398,692,593
18993,692,593
571,693,582
6166,693,592
11755,693,593
17344,693,580
22939,693,582
4523,694,589
10112,694,593
15707,694,593
21296,694,585
2880,695,583
8469,695,592
14064,695,593
19653,695,590
1421,696,593
6826,696,594
12415,696,596
18010,696,601
23599,696,595
5183,697,597
10772,697,606
16367,697,613
21956,697,612
3540,698,609
9135,698,623
14724,698,630
20313,698,632
1902,699,619
7486,699,636
13081,699,646
18670,699,647
259,700,635
5849,700,644
11438,700,656
17027,700,654
22616,700,640
4200,701,652
9795,701,661
15384,701,658
20973,701,643
2557,702,653
8152,702,661
13741,702,659
19325,702,644
920,703,654
6509,703,661
12098,703,653
17682,703,641
23277,703,654
4866,704,655
10455,704,646
16039,704,644
21634,704,649
3223,705,653
8812,705,636
14396,705,638
19991,705,649
1580,706,644
7169,706,631
12759,706,637
18348,706,643
23937,706,642
5521,707,625
11110,707,636
16705,707,644
22294,707,638
3878,708,619
9473,708,638
